Job ID,Technology,Experience Level,Category,Experience
0,Relacyjne Bazy Danych,advanced,Database Administration,Senior
0,PostgreSQL,regular,Database Administration,Senior
0,MySQL,regular,Database Administration,Senior
0,SQL Server,regular,Database Administration,Senior
0,Oracle,regular,Database Administration,Senior
0,Enterprise Architect,regular,Database Administration,Senior
1,Spark,advanced,Data Engineering,Manager / C-level
1,Snowflake,advanced,Data Engineering,Manager / C-level
1,Databricks,advanced,Data Engineering,Manager / C-level
1,AWS,regular,Data Engineering,Manager / C-level
2,Python,regular,Data Engineering,Mid
3,DBT,advanced,Data Engineering,Senior
3,Snowflake,advanced,Data Engineering,Senior
3,SQL,advanced,Data Engineering,Senior
3,Python,advanced,Data Engineering,Senior
3,Java,advanced,Data Engineering,Senior
3,C#,advanced,Data Engineering,Senior
3,CI/CD,advanced,Data Engineering,Senior
3,Git,advanced,Data Engineering,Senior
3,Power BI,nice to have,Data Engineering,Senior
4,Azure,master,Data Engineering,Senior
4,Databricks,master,Data Engineering,Senior
4,Python,master,Data Engineering,Senior
4,SQL,master,Data Engineering,Senior
4,Scala,regular,Data Engineering,Senior
5,Databricks,junior,Data Analysis & BI,Junior
5,Snowflake,junior,Data Analysis & BI,Junior
6,SQL,regular,Data Engineering,Senior
6,Python,regular,Data Engineering,Senior
6,PySpark,regular,Data Engineering,Senior
6,Airflow,regular,Data Engineering,Senior
6,ETL,regular,Data Engineering,Senior
6,GCP,regular,Data Engineering,Senior
6,AWS,regular,Data Engineering,Senior
6,Azure,regular,Data Engineering,Senior
7,SQL Server,regular,Database Administration,Senior
7,Databases,regular,Database Administration,Senior
7,MySQL,regular,Database Administration,Senior
7,Oracle,regular,Database Administration,Senior
7,AWS,nice to have,Database Administration,Senior
7,GCP,nice to have,Database Administration,Senior
7,Azure,nice to have,Database Administration,Senior
8,SQL Server,advanced,Data Engineering,Senior
8,T-SQL,advanced,Data Engineering,Senior
8,Azure,advanced,Data Engineering,Senior
8,Azure,advanced,Data Engineering,Senior
8,SQL,advanced,Data Engineering,Senior
8,Microsoft Fabric,advanced,Data Engineering,Senior
8,PySpark,regular,Data Engineering,Senior
8,Databricks,regular,Data Engineering,Senior
8,Python,regular,Data Engineering,Senior
8,ADF,regular,Data Engineering,Senior
9,Python,advanced,Data Engineering,Senior
9,Azure,advanced,Data Engineering,Senior
9,Databricks,advanced,Data Engineering,Senior
9,ADF,advanced,Data Engineering,Senior
9,Synapse,regular,Data Engineering,Senior
9,Pureview,regular,Data Engineering,Senior
10,Python,regular,Data Engineering,Senior
10,SQL,regular,Data Engineering,Senior
10,Snowflake,regular,Data Engineering,Senior
10,PostgreSQL,regular,Data Engineering,Senior
10,Elasticsearch,regular,Data Engineering,Senior
10,Apache Spark,regular,Data Engineering,Senior
10,Azure Databricks,regular,Data Engineering,Senior
10,Airflow,regular,Data Engineering,Senior
11,Data Engineering,master,Data Engineering,Senior
11,SQL,advanced,Data Engineering,Senior
11,Python,advanced,Data Engineering,Senior
12,Hadoop,master,Data Engineering,Senior
12,Hive,master,Data Engineering,Senior
12,HDFS,master,Data Engineering,Senior
12,Apache Spark,master,Data Engineering,Senior
12,Scala,regular,Data Engineering,Senior
12,GCP,regular,Data Engineering,Senior
12,SQL,regular,Data Engineering,Senior
12,CI/CD,regular,Data Engineering,Senior
12,Bigquery,nice to have,Data Engineering,Senior
12,Cloud Dataflow,nice to have,Data Engineering,Senior
13,AWS,advanced,Data Engineering,Senior
13,Docker,advanced,Data Engineering,Senior
13,SQL,advanced,Data Engineering,Senior
13,Python,advanced,Data Engineering,Senior
13,Apache Spark,advanced,Data Engineering,Senior
13,Airflow,regular,Data Engineering,Senior
13,Kubernetes,regular,Data Engineering,Senior
13,Iceberg,nice to have,Data Engineering,Senior
13,Java,nice to have,Data Engineering,Senior
14,Tableau,master,Data Analysis & BI,Mid
14,SQL,master,Data Analysis & BI,Mid
14,Python,master,Data Analysis & BI,Mid
14,Power BI,junior,Data Analysis & BI,Mid
15,AWS,master,Data Engineering,Senior
15,CI/CD,advanced,Data Engineering,Senior
15,Python,advanced,Data Engineering,Senior
15,Apache Kafka,regular,Data Engineering,Senior
15,Apache Spark,regular,Data Engineering,Senior
16,Apache Spark,advanced,Data Engineering,Mid
16,Hadoop,advanced,Data Engineering,Mid
16,Kafka,advanced,Data Engineering,Mid
16,Data storage,regular,Data Engineering,Mid
16,Docker,regular,Data Engineering,Mid
16,Kubernetes,regular,Data Engineering,Mid
17,PostgreSQL,regular,Database Administration,Mid
17,Power BI,regular,Database Administration,Mid
17,SQL Server,regular,Database Administration,Mid
17,Oracle,regular,Database Administration,Mid
17,Tableau,nice to have,Database Administration,Mid
17,SSRS,nice to have,Database Administration,Mid
18,Oracle,advanced,Database Administration,Senior
18,SQL,advanced,Database Administration,Senior
18,AIX,regular,Database Administration,Senior
18,Oracle,regular,Database Administration,Senior
18,CI/CD,regular,Database Administration,Senior
19,PostgreSQL,advanced,Data Engineering,Senior
19,Cosmos DB,advanced,Data Engineering,Senior
19,MongoDB,advanced,Data Engineering,Senior
19,Oracle,advanced,Data Engineering,Senior
19,SQL Server,advanced,Data Engineering,Senior
19,Data architecture,advanced,Data Engineering,Senior
20,GCP,advanced,Data Engineering,Senior
20,Python,advanced,Data Engineering,Senior
20,CI/CD,regular,Data Engineering,Senior
21,Power BI,regular,Database Administration,Mid
21,Microsoft Analysis Services,regular,Database Administration,Mid
21,Oracle,regular,Database Administration,Mid
21,SQL Server,regular,Database Administration,Mid
21,SQL,regular,Database Administration,Mid
21,Oracle,regular,Database Administration,Mid
21,T-SQL,regular,Database Administration,Mid
21,SQL Server,regular,Database Administration,Mid
21,ETL,regular,Database Administration,Mid
21,ELT,regular,Database Administration,Mid
22,Darts,master,Data Science,Senior
22,PyTorch,master,Data Science,Senior
22,PySpark,master,Data Science,Senior
22,TensorFlow,master,Data Science,Senior
22,Prophet,advanced,Data Science,Senior
22,Linear Regression,advanced,Data Science,Senior
22,MLOps,advanced,Data Science,Senior
22,XGBoost,regular,Data Science,Senior
22,LSTM,regular,Data Science,Senior
22,Arima,regular,Data Science,Senior
23,SQL,advanced,Data Engineering,Senior
23,Airflow,regular,Data Engineering,Senior
23,ETL,regular,Data Engineering,Senior
23,Spark,regular,Data Engineering,Senior
23,Hadoop,regular,Data Engineering,Senior
23,Apache Airflow,regular,Data Engineering,Senior
23,Python,regular,Data Engineering,Senior
23,Apache Spark,regular,Data Engineering,Senior
23,Docker,nice to have,Data Engineering,Senior
23,Kubernetes,nice to have,Data Engineering,Senior
24,Airflow,regular,Data Science,Mid
24,Artificial Intelligence,regular,Data Science,Mid
24,Azure,regular,Data Science,Mid
24,Kafka,regular,Data Science,Mid
24,Python,regular,Data Science,Mid
25,Databricks,advanced,Data Analysis & BI,Senior
25,Azure Synapse Analytics,advanced,Data Analysis & BI,Senior
25,Azure Data Lake,advanced,Data Analysis & BI,Senior
25,Cloud,advanced,Data Analysis & BI,Senior
25,SQL,advanced,Data Analysis & BI,Senior
25,Data Vault,advanced,Data Analysis & BI,Senior
25,Data analysis,advanced,Data Analysis & BI,Senior
26,AWS,advanced,Data Engineering,Senior
26,Airflow,advanced,Data Engineering,Senior
26,Redshift,advanced,Data Engineering,Senior
26,s3,advanced,Data Engineering,Senior
26,Lambda,advanced,Data Engineering,Senior
26,Snowflake,advanced,Data Engineering,Senior
26,SQL,advanced,Data Engineering,Senior
26,Python,advanced,Data Engineering,Senior
27,AWS,regular,Data Engineering,Mid
27,Python,regular,Data Engineering,Mid
27,Databricks,regular,Data Engineering,Mid
27,Spark,regular,Data Engineering,Mid
27,DBT,regular,Data Engineering,Mid
27,SQL,regular,Data Engineering,Mid
27,CI/CD,nice to have,Data Engineering,Mid
27,Airflow,nice to have,Data Engineering,Mid
27,Dagster,nice to have,Data Engineering,Mid
28,Microsoft Excel,regular,Specialist / Other,Mid
28,VBA,regular,Specialist / Other,Mid
28,Atlassian,regular,Specialist / Other,Mid
28,ITIL,regular,Specialist / Other,Mid
28,alteryx,nice to have,Specialist / Other,Mid
28,Power BI,nice to have,Specialist / Other,Mid
28,Power Automate,nice to have,Specialist / Other,Mid
28,Power Query,nice to have,Specialist / Other,Mid
28,SQL,nice to have,Specialist / Other,Mid
28,React,nice to have,Specialist / Other,Mid
29,PostgreSQL,advanced,Data Engineering,Senior
29,ETL tools,advanced,Data Engineering,Senior
29,MySQL,advanced,Data Engineering,Senior
29,MongoDB,advanced,Data Engineering,Senior
29,SQL,advanced,Data Engineering,Senior
29,Enterprise Architect,advanced,Data Engineering,Senior
29,DWH,advanced,Data Engineering,Senior
29,Python,regular,Data Engineering,Senior
30,Java,advanced,Data Engineering,Senior
30,Spring Boot,advanced,Data Engineering,Senior
30,CI/CD,advanced,Data Engineering,Senior
30,GCP,advanced,Data Engineering,Senior
30,streaming,advanced,Data Engineering,Senior
30,Kafka,advanced,Data Engineering,Senior
30,Apache  Beam,regular,Data Engineering,Senior
