Job ID,Technology,Experience Level,Category,Experience
0,Excel,regular,Data Engineering,Mid
0,DICOM,regular,Data Engineering,Mid
0,Mirth,regular,Data Engineering,Mid
0,SQL,regular,Data Engineering,Mid
1,Databases,advanced,Database Administration,Senior
2,ELT,advanced,Data Engineering,Manager / C-level
2,CI/CD,advanced,Data Engineering,Manager / C-level
2,DDD,advanced,Data Engineering,Manager / C-level
2,data governance,advanced,Data Engineering,Manager / C-level
2,API,advanced,Data Engineering,Manager / C-level
2,HLD,advanced,Data Engineering,Manager / C-level
2,LLD,advanced,Data Engineering,Manager / C-level
3,SQL Server,regular,Database Administration,Mid
3,Powershell,regular,Database Administration,Mid
3,SQL,regular,Database Administration,Mid
4,Teradata,advanced,Data Architecture,Senior
4,Informatica,advanced,Data Architecture,Senior
4,Data analysis,regular,Data Architecture,Senior
4,SQL,regular,Data Architecture,Senior
5,SQL,advanced,Data Engineering,Senior
5,Data Warehousing,advanced,Data Engineering,Senior
5,Python,nice to have,Data Engineering,Senior
5,Bash,nice to have,Data Engineering,Senior
5,Java,nice to have,Data Engineering,Senior
5,CI/CD,nice to have,Data Engineering,Senior
6,Artificial Intelligence,advanced,Data Science,Mid
6,Databases,regular,Data Science,Mid
7,Oracle,master,Database Administration,Senior
7,SQL,master,Database Administration,Senior
7,REST API,regular,Database Administration,Senior
7,XQUERY,regular,Database Administration,Senior
7,SOAP,regular,Database Administration,Senior
7,XSLT,regular,Database Administration,Senior
8,AWS,advanced,Data Engineering,Mid
8,SQL,advanced,Data Engineering,Mid
8,Python,advanced,Data Engineering,Mid
9,Python,regular,Data Engineering,Mid
9,Docker,regular,Data Engineering,Mid
9,Prometheus,regular,Data Engineering,Mid
9,Grafana,regular,Data Engineering,Mid
9,Airflow,regular,Data Engineering,Mid
9,Machine Learning,nice to have,Data Engineering,Mid
10,AWS,advanced,Data Engineering,Senior
10,Terraform,advanced,Data Engineering,Senior
10,SQL,advanced,Data Engineering,Senior
10,Python,advanced,Data Engineering,Senior
