word,count
ability,70
analysis,93
analyst,48
analytical,51
analytics,131
azure,64
based,55
bi,183
build,46
building,46
business,253
client,61
cloud,80
collaborate,50
communication,51
company,69
complex,65
create,44
customer,48
dashboards,45
data,929
data analysis,53
design,56
develop,55
development,97
driven,51
ensure,55
environment,61
etl,48
familiarity,44
financial,60
global,62
help,47
including,56
industry,61
insights,72
join,53
key,62
knowledge,101
learning,45
looking,48
management,73
needs,46
new,53
offer,59
office,62
opportunities,46
people,56
performance,48
platform,65
power,142
power bi,117
process,53
processes,50
product,67
proficiency,45
program,43
project,60
projects,58
python,77
quality,72
related,49
reporting,47
reports,45
requirements,76
responsibilities,49
services,59
solutions,125
sql,156
stakeholders,71
strong,108
support,112
team,143
teams,91
technical,111
tools,95
training,47
understanding,55
work,200
working,99
