word,count
ability work,21
actionable insights,29
ai solutions,18
analytics data,13
architects data,19
architects data engineers,12
bi developer,13
bi solutions,19
bi tools,12
big data,22
business intelligence,25
business requirements,18
business stakeholders,19
cloud based,13
collaborate data,16
complex data,28
computer science,19
cross functional,24
cross functional teams,14
cutting edge,13
dashboards reports,20
data analysis,50
data analyst,50
data analytics,52
data architects,22
data architects data,19
data assets,55
data driven,36
data engineers,29
data governance,26
data lake,16
data management,40
data modeling,31
data models,23
data platform,13
data quality,56
data science,24
data sources,16
data visualization,19
decision making,22
develop maintain,17
driven decision making,12
ensure data,27
etl elt,17
excellent communication,13
fast paced,14
flexible working,14
flexible working hours,14
functional teams,17
high quality,14
hybrid work,21
hybrid work model,16
knowledge data,15
lata doświadczenia,19
life insurance,13
master data,16
master degree,13
medical care,26
mile widziane,21
minimum lata,14
minimum lata doświadczenia,14
non technical,17
non technical stakeholders,12
power bi,149
power query,14
private medical,20
private medical care,18
problem solving,23
product managers,13
professional development,14
related field,17
senior data,12
sql python,20
strong communication,13
strong understanding,15
technical non technical,12
technical stakeholders,12
understanding data,25
work model,17
working hours,16
