Job ID,Technology,Experience Level,Category,Experience
0,Oracle,master,Database Administration,Senior
0,SQL Server,advanced,Database Administration,Senior
0,PostgreSQL,regular,Database Administration,Senior
1,Large Language Models,advanced,Unclassified,Senior
1,Azure,advanced,Unclassified,Senior
1,Python,advanced,Unclassified,Senior
1,Generative AI,advanced,Unclassified,Senior
2,Git,advanced,Data Engineering,Senior
2,ETL,advanced,Data Engineering,Senior
2,Azure,advanced,Data Engineering,Senior
2,Data Warehouse,advanced,Data Engineering,Senior
2,Delta Lake,advanced,Data Engineering,Senior
2,SQL,advanced,Data Engineering,Senior
2,Python,advanced,Data Engineering,Senior
2,Glue,advanced,Data Engineering,Senior
2,Apache Spark,advanced,Data Engineering,Senior
3,Data Stewardship,master,Unclassified,Manager / C-level
3,Data Strategy,master,Unclassified,Manager / C-level
3,Unity Catalogue,master,Unclassified,Manager / C-level
3,Data Privacy,master,Unclassified,Manager / C-level
3,Data security,master,Unclassified,Manager / C-level
3,data governance,master,Unclassified,Manager / C-level
3,Agentic AI,regular,Unclassified,Manager / C-level
3,DATA MODELLING,regular,Unclassified,Manager / C-level
3,Databricks,regular,Unclassified,Manager / C-level
4,MySQL,advanced,Data Engineering,Mid
4,PostgreSQL,advanced,Data Engineering,Mid
4,Oracle,advanced,Data Engineering,Mid
4,Docker,nice to have,Data Engineering,Mid
4,Kubernetes,nice to have,Data Engineering,Mid
5,Oracle,advanced,Database Administration,Mid
5,SQL,advanced,Database Administration,Mid
5,Apex,regular,Database Administration,Mid
5,Relational Databases,regular,Database Administration,Mid
5,Oracle,regular,Database Administration,Mid
5,CI/CD,junior,Database Administration,Mid
6,Oracle,master,Unclassified,Senior
6,Oracle,master,Unclassified,Senior
6,XML,advanced,Unclassified,Senior
6,JSON,advanced,Unclassified,Senior
6,Jira,advanced,Unclassified,Senior
6,Python,nice to have,Unclassified,Senior
7,T-SQL,regular,Unclassified,Mid
7,ActiveX Data Objects,regular,Unclassified,Mid
7,Delphi,regular,Unclassified,Mid
7,SQL Server,regular,Unclassified,Mid
8,Pandas,advanced,Data Science,Mid
8,Numpy,advanced,Data Science,Mid
8,Scikit-Learn,advanced,Data Science,Mid
8,Python,advanced,Data Science,Mid
8,Machine Learning,regular,Data Science,Mid
8,Feature Engineering,regular,Data Science,Mid
9,Artificial Intelligence,advanced,Data Science,Manager / C-level
9,ML/AI systems,advanced,Data Science,Manager / C-level
9,Data & AI Strategy,advanced,Data Science,Manager / C-level
9,Python,advanced,Data Science,Manager / C-level
9,Data platforms,advanced,Data Science,Manager / C-level
9,Data architectures,advanced,Data Science,Manager / C-level
10,Python,advanced,Data Engineering,Mid
10,Pandas,advanced,Data Engineering,Mid
10,SQL,advanced,Data Engineering,Mid
10,DBT,regular,Data Engineering,Mid
10,GitLab,regular,Data Engineering,Mid
10,Snowflake,regular,Data Engineering,Mid
10,ETL,regular,Data Engineering,Mid
11,redhat,regular,Database Administration,Mid
11,Linux,regular,Database Administration,Mid
11,Oracle,regular,Database Administration,Mid
11,Oracle,regular,Database Administration,Mid
11,Redis,nice to have,Database Administration,Mid
11,PostgreSQL,nice to have,Database Administration,Mid
11,Shell,nice to have,Database Administration,Mid
11,Perl,nice to have,Database Administration,Mid
11,Python,nice to have,Database Administration,Mid
11,Cassandra,nice to have,Database Administration,Mid
12,Hadoop,advanced,Unclassified,Mid
12,Apache Airflow,advanced,Unclassified,Mid
12,SQL,advanced,Unclassified,Mid
12,Python,advanced,Unclassified,Mid
12,Apache Spark,advanced,Unclassified,Mid
13,Git,regular,Unclassified,Mid
13,Airflow,regular,Unclassified,Mid
13,CI/CD,regular,Unclassified,Mid
13,ETL,regular,Unclassified,Mid
13,Spark,regular,Unclassified,Mid
13,Hadoop,regular,Unclassified,Mid
13,SQL,regular,Unclassified,Mid
13,Python,regular,Unclassified,Mid
14,Snowflake,advanced,Data Engineering,Senior
14,DBT,advanced,Data Engineering,Senior
14,Data Engineering,advanced,Data Engineering,Senior
15,Azure,advanced,Data Science,Mid
15,Python,advanced,Data Science,Mid
15,Machine Learning,advanced,Data Science,Mid
16,Hadoop,master,Data Engineering,Senior
16,Hive,master,Data Engineering,Senior
16,HDFS,master,Data Engineering,Senior
16,Apache Spark,master,Data Engineering,Senior
16,Scala,regular,Data Engineering,Senior
16,GCP,regular,Data Engineering,Senior
16,SQL,regular,Data Engineering,Senior
16,CI/CD,regular,Data Engineering,Senior
16,Bigquery,nice to have,Data Engineering,Senior
16,Cloud Dataflow,nice to have,Data Engineering,Senior
17,GCP,advanced,Unclassified,Senior
17,ETL,advanced,Unclassified,Senior
17,Data Warehousing,advanced,Unclassified,Senior
17,GCP,advanced,Unclassified,Senior
17,BigQuery,advanced,Unclassified,Senior
17,SQL,advanced,Unclassified,Senior
17,Python,advanced,Unclassified,Senior
17,Apache,nice to have,Unclassified,Senior
17,IntelliJ,nice to have,Unclassified,Senior
17,Gradle,nice to have,Unclassified,Senior
18,C++,advanced,Data Science,Manager / C-level
18,Java,advanced,Data Science,Manager / C-level
19,IT system maintenance,advanced,Unclassified,Senior
19,Jira,advanced,Unclassified,Senior
19,Azure DevOps,advanced,Unclassified,Senior
19,SQL,regular,Unclassified,Senior
19,PySpark,regular,Unclassified,Senior
19,API,regular,Unclassified,Senior
20,BigQuery,regular,Data Architecture,Mid
20,Cloud,regular,Data Architecture,Mid
20,Pub/Sub,regular,Data Architecture,Mid
20,Dataflow,regular,Data Architecture,Mid
20,Dataproc,regular,Data Architecture,Mid
20,Apache Beam,regular,Data Architecture,Mid
20,Cloud Composer,regular,Data Architecture,Mid
21,Python,advanced,Data Engineering,Mid
21,SQL,regular,Data Engineering,Mid
21,Apache Airflow,regular,Data Engineering,Mid
22,Azure Databricks,advanced,Unclassified,Senior
22,DATA MODELLING,advanced,Unclassified,Senior
22,ETL Pipelines,advanced,Unclassified,Senior
23,Python,advanced,Data Engineering,Senior
23,Azure Data Lake,advanced,Data Engineering,Senior
23,Databricks,advanced,Data Engineering,Senior
23,Azure Data Factory,advanced,Data Engineering,Senior
23,SQL,advanced,Data Engineering,Senior
24,Python,regular,Data Engineering,Mid
24,Azure,regular,Data Engineering,Mid
24,Databricks,regular,Data Engineering,Mid
24,Apache Spark,regular,Data Engineering,Mid
24,SQL,regular,Data Engineering,Mid
