word,count
ability work,6
ai big,6
ai big data,6
ai ml,6
apache spark,8
architecture data,7
aws azure,7
azure aws,9
azure data,13
azure data factory,8
based data,6
big data,23
big data technologies,7
business needs,6
business stakeholders,7
cloud based,10
cloud data,8
collaborate data,6
computer science,6
cross functional,6
cutting edge,9
data analytics,9
data architect,20
data architecture,36
data data,6
data driven,7
data engineering,16
data factory,8
data governance,25
data infrastructure,7
data integration,12
data lake,8
data management,18
data migration,14
data modeling,22
data models,7
data pipelines,11
data platform,18
data platforms,14
data processing,8
data quality,7
data solutions,6
data technologies,8
data transformation,7
data vault,20
data vault modeling,6
data warehouse,8
data warehousing,7
dbt data,7
design development,6
design implement,7
designing implementing,7
end end,6
ensure data,8
enterprise data,10
etl elt,12
excellent communication,12
google cloud,9
implementing data,6
inpost group,6
integration patterns,6
long term,13
machine learning,11
microsoft azure,6
mile widziane,9
modern data,8
multisport card,8
practices data,6
real time,8
remote work,7
snowflake databricks,9
solid understanding,6
sql python,7
team building,6
team members,6
technical solutions,7
tools like,7
understanding data,8
vault modeling,6
współpraca zespołami,7
