,SQL,AWS,Artificial Intelligence,Machine Learning,Power BI,PySpark,SQL Server,Cloud,ETL,ELT
SQL,0.0,31.627906976744185,15.813953488372093,17.441860465116278,24.418604651162788,13.488372093023257,18.13953488372093,13.25581395348837,13.488372093023257,13.488372093023257
AWS,69.38775510204081,0.0,29.591836734693878,26.02040816326531,13.77551020408163,14.285714285714285,13.26530612244898,18.367346938775512,16.83673469387755,16.83673469387755
Artificial Intelligence,47.88732394366197,40.845070422535215,0.0,53.52112676056338,11.267605633802818,11.267605633802818,5.633802816901409,14.084507042253522,13.380281690140844,13.380281690140844
Machine Learning,58.59375,39.84375,59.375,0.0,13.28125,14.0625,4.6875,15.625,8.59375,8.59375
Power BI,83.33333333333334,21.428571428571427,12.698412698412698,13.492063492063492,0.0,10.317460317460316,19.047619047619047,11.11111111111111,11.904761904761903,11.904761904761903
PySpark,73.41772151898735,35.44303797468354,20.253164556962027,22.78481012658228,16.455696202531644,0.0,7.59493670886076,10.126582278481013,20.253164556962027,20.253164556962027
SQL Server,100.0,33.33333333333333,10.256410256410255,7.6923076923076925,30.76923076923077,7.6923076923076925,0.0,8.974358974358974,10.256410256410255,10.256410256410255
Cloud,74.02597402597402,46.75324675324675,25.97402597402597,25.97402597402597,18.181818181818183,10.38961038961039,9.090909090909092,0.0,18.181818181818183,18.181818181818183
ETL,79.45205479452055,45.20547945205479,26.027397260273972,15.068493150684931,20.54794520547945,21.91780821917808,10.95890410958904,19.17808219178082,0.0,100.0
ELT,79.45205479452055,45.20547945205479,26.027397260273972,15.068493150684931,20.54794520547945,21.91780821917808,10.95890410958904,19.17808219178082,100.0,0.0
