word,count
ai,35
analytics,19
apache,16
architect,38
architecture,48
architektury,17
aws,29
azure,51
b2b,18
based,25
big,20
big data,19
build,16
business,57
client,20
cloud,63
collaborate,17
company,17
data,420
data architecture,21
data governance,20
data modeling,17
data platform,16
databricks,31
dbt,18
define,18
design,46
develop,16
development,34
engineering,23
ensure,23
enterprise,24
etl,27
global,16
governance,32
including,20
integration,17
klienta,16
knowledge,27
lead,16
like,17
management,35
migration,19
modeling,23
np,19
pipelines,18
platform,48
platforms,26
practices,23
processes,19
project,24
projects,29
python,21
quality,17
remote,17
responsibilities,17
scalable,20
security,19
services,18
snowflake,34
solutions,61
sql,44
standards,17
strong,23
support,27
systems,20
systemów,20
team,51
teams,23
technical,35
technologies,23
technology,23
tools,20
transformation,17
tworzenie,16
understanding,18
using,21
vault,20
work,50
working,22
