word,count
ability work,93
apache airflow,69
apache spark,105
azure data,129
azure data factory,78
azure databricks,77
big data,266
business intelligence,78
cloud based,90
cloud data,74
cloud platform,77
complex data,78
computer science,95
cross functional,173
cross functional teams,108
cutting edge,122
data analysis,124
data analytics,117
data architecture,96
data driven,139
data engineer,272
data engineering,231
data factory,92
data governance,169
data integration,84
data lake,103
data management,111
data modeling,166
data models,121
data pipelines,278
data platform,135
data processing,180
data quality,172
data science,192
data scientist,65
data scientists,89
data solutions,98
data sources,79
data transformation,67
data warehouse,87
data warehousing,82
decision making,86
design build,71
design implement,82
develop maintain,72
ensure data,79
etl elt,125
etl processes,72
excellent communication,83
flexible working,94
flexible working hours,73
functional teams,112
google cloud,128
high quality,67
hybrid work,73
knowledge data,68
large scale,88
life insurance,73
long term,98
machine learning,193
medical care,94
mile widziane,90
multisport card,76
pl sql,71
power bi,255
private medical,95
private medical care,73
problem solving,142
python sql,81
real time,85
related field,69
remote work,95
scalable data,91
senior data,90
sql server,85
team members,78
tools like,89
understanding data,93
work model,72
working hours,97
