Job ID,Technology,Experience Level,Category,Experience
0,Relacyjne Bazy Danych,advanced,Database Administration,Senior
0,Postresql,regular,Database Administration,Senior
0,Mysql,regular,Database Administration,Senior
0,Mssql,regular,Database Administration,Senior
0,Oracle,regular,Database Administration,Senior
0,Enterprise Architect,regular,Database Administration,Senior
1,Spark,advanced,Data Engineering,Manager / C-level
1,Snowflake,advanced,Data Engineering,Manager / C-level
1,Databricks,advanced,Data Engineering,Manager / C-level
1,Aws,regular,Data Engineering,Manager / C-level
2,Python,regular,Data Engineering,Mid
3,Dbt,advanced,Data Engineering,Senior
3,Snowflake,advanced,Data Engineering,Senior
3,Sql,advanced,Data Engineering,Senior
3,Python,advanced,Data Engineering,Senior
3,Java,advanced,Data Engineering,Senior
3,C#,advanced,Data Engineering,Senior
3,Ci/Cd,advanced,Data Engineering,Senior
3,Git,advanced,Data Engineering,Senior
3,Power Bi,nice to have,Data Engineering,Senior
4,Azure,master,Data Engineering,Senior
4,Databricks,master,Data Engineering,Senior
4,Python,master,Data Engineering,Senior
4,Sql,master,Data Engineering,Senior
4,Scala,regular,Data Engineering,Senior
5,Databricks,junior,Data Analysis & BI,Junior
5,Snowflake,junior,Data Analysis & BI,Junior
6,Sql,regular,Data Engineering,Senior
6,Python,regular,Data Engineering,Senior
6,Pyspark,regular,Data Engineering,Senior
6,Airflow,regular,Data Engineering,Senior
6,Etl,regular,Data Engineering,Senior
6,Google Cloud Platform,regular,Data Engineering,Senior
6,Aws,regular,Data Engineering,Senior
6,Azure,regular,Data Engineering,Senior
7,SQL Server,regular,Database Administration,Senior
7,Databases,regular,Database Administration,Senior
7,Mysql,regular,Database Administration,Senior
7,Oracle,regular,Database Administration,Senior
7,Aws,nice to have,Database Administration,Senior
7,Google Cloud Platform,nice to have,Database Administration,Senior
7,Azure,nice to have,Database Administration,Senior
8,Ms Sql Server,advanced,Data Engineering,Senior
8,T-Sql,advanced,Data Engineering,Senior
8,Microsoft Azure Cloud,advanced,Data Engineering,Senior
8,Azure Services,advanced,Data Engineering,Senior
8,Sql,advanced,Data Engineering,Senior
8,Microsoft Fabric,advanced,Data Engineering,Senior
8,Pyspark,regular,Data Engineering,Senior
