word,count
ability work,40
apache airflow,43
apache spark,63
azure data,84
azure data factory,51
azure databricks,44
azure devops,36
big data,145
build maintain,38
cd pipelines,35
cloud based,46
cloud data,49
cloud platform,47
cloud platforms,39
cloud services,41
computer science,38
cross functional,90
cross functional teams,58
cutting edge,51
data analytics,58
data architecture,38
data driven,56
data engineer,243
data engineer join,42
data engineering,184
data factory,61
data governance,73
data infrastructure,35
data integration,58
data lake,73
data management,36
data modeling,94
data models,50
data pipeline,35
data pipelines,225
data platform,71
data processing,130
data products,37
data quality,89
data scientists,46
data solutions,69
data systems,38
data technologies,34
data transformation,41
data warehouse,42
data warehousing,46
decision making,36
design build,53
design implement,47
develop maintain,41
docker kubernetes,36
engineer join,52
ensure data,46
etl elt,66
etl processes,44
flexible working,43
functional teams,59
google cloud,65
google cloud platform,39
large scale,40
medical care,42
optimize data,34
pipelines using,43
power bi,39
private medical,40
problem solving,56
python sql,45
real time,56
remote work,38
scalable data,65
scalable data pipelines,36
senior data,51
senior data engineer,43
sql server,37
team members,45
tools like,38
understanding data,52
version control,36
work closely,36
working hours,44
