word,count
azure data,10
azure data factory,9
azure power,9
azure power bi,9
azure sql,10
baz oracle,10
bezpieczeństwa baz,8
biznesowymi celu,8
business intelligence,7
data factory,9
data guard,7
database performance,8
database systems,7
diagnozowanie problemów,8
dobra języka,12
dobra języka sql,10
dokumentacji technicznej,12
dress code,7
git narzędzi,7
implementacji hurtowni,12
języka angielskiego,12
języka sql,11
kontekście hurtowni,12
kontroli wersji,16
kontroli wersji git,16
lat doświadczenia,7
lata doświadczenia,13
microsoft azure,7
mile widziane,20
milionów transakcji,12
minimum lata,11
minimum lata doświadczenia,11
modelowanie tworzenie,8
ms sql,18
ms sql server,7
najlepszych praktyk,7
narzędzi automatyzacji,7
naszych klientów,8
np postgresql,7
ochrony zdrowia,7
optymalizacja zapytań,9
optymalizacja zapytań sql,7
oracle sql,8
performance tuning,11
pl pgsql,8
pl sql,37
power bi,28
problem solving,8
procedur składowanych,13
procesów etl,9
projektowanie implementacja,11
rozwiązywania problemów,10
setki milionów,12
setki milionów transakcji,12
sql pl,14
sql pl sql,9
sql postgresql,7
sql procedur,7
sql server,28
sql sql,15
systemu kontroli,7
systemu kontroli wersji,7
tworzenie dokumentacji,9
tworzenie dokumentacji technicznej,8
udział projektach,7
umiejętność rozwiązywania,9
umiejętność rozwiązywania problemów,8
wersji git,16
wersji git narzędzi,7
współpraca zespołami,13
współpraca zespołami deweloperskimi,9
współpraca zespołem,7
współpracy zespołami,7
wykształcenie wyższe,14
zakres obowiązków,11
zapytań sql,20
zarządzania kodem,12
zdolności analityczne,7
zespołami deweloperskimi,10
środowiskach produkcyjnych,7
