Job ID,Technology,Experience Level
0,Data,advanced
0,Databases,advanced
0,SQL,advanced
0,Linux,regular
0,Windows,regular
1,English,C1
1,PostgreSQL,advanced
1,High Availability,advanced
1,Linux,advanced
1,PL/SQL,regular
1,SQL,regular
1,CI/CD,nice to have
2,IDMC,regular
2,ETL,regular
2,Azure,regular
3,English,C1
3,AWS,advanced
3,Airflow,advanced
3,SQL,advanced
3,Python,advanced
4,English,B2
4,ETL,advanced
4,SQL,advanced
4,Airflow,regular
4,DBT,regular
4,Snowflake,regular
4,Python,regular
4,AWS,nice to have
4,Databricks,nice to have
5,English,C1
5,AWS,advanced
5,Google Cloud Platform,advanced
5,Hadoop,advanced
5,Cloudera,advanced
5,Azure,advanced
5,PySpark,regular
5,Java,regular
5,Python,regular
5,Scala,regular
5,Big Data,regular
6,English,B2
6,Databricks,advanced
6,Data Lake,advanced
6,Azure Synapse,advanced
6,Tableau,advanced
6,Power BI,advanced
7,English,C1
7,VBA,master
7,SQL,master
7,T-SQL,advanced
7,SQL Server,advanced
7,Databases,advanced
7,Data modeling,advanced
7,Data Integration,advanced
8,Power BI,advanced
8,MS SQL,advanced
8,English,advanced
8,ETL tools,regular
8,Proactivity,regular
8,Critical thinking,regular
8,Data modeling,regular
8,Python,junior
8,Azure,nice to have
9,English,B2
9,Clickup,junior
9,Buble,junior
9,Bazy Danych,junior
9,No Code,junior
9,Low code,junior
9,AI,nice to have
10,English,B2
10,Analytical Thinking,advanced
10,Cloud,regular
10,AI,regular
10,Data,regular
11,English,B2
11,AWS,advanced
11,Terraform,advanced
11,SQL,advanced
11,Python,advanced
12,English,B2
12,Data Vault,advanced
12,Snowflake,advanced
12,DBT,advanced
12,AWS,regular
13,English,C1
13,Data Vault,advanced
13,ETL,advanced
13,DBT,advanced
13,Data modeling,advanced
13,Data Engineering,advanced
14,English,B2
14,Cloud,regular
14,Python,regular
14,Machine Learning,regular
14,AWS,nice to have
14,Azure,nice to have
14,GCP,nice to have
15,Palantir Foundry,regular
15,ETL,regular
15,SQL,regular
15,Python,regular
15,AWS,nice to have
15,Azure,nice to have
15,GCP,nice to have
15,CI/CD,nice to have
16,Polish,B2
16,English,B2
16,Python,advanced
16,Cloud,regular
16,Big Data,regular
16,Amazon AWS,nice to have
16,GCP,nice to have
16,Azure,nice to have
17,PyTorch,regular
17,TensorFlow,regular
17,scikit-learn,regular
17,Pandas,regular
17,NumPy,regular
17,Python,regular
18,Polish,C1
18,PL/SQL,regular
18,SQL,regular
18,Informatica Power Center,regular
18,Spark,nice to have
18,Python,nice to have
19,AWS,advanced
19,SQL,advanced
19,Python,advanced
20,Polish,B2
20,English,B2
20,Microsoft Excel,regular
20,SQL,junior
20,Python,junior
20,plotly,junior
20,Pandas,junior
21,Polish,C2
21,English,B2
21,AWS,advanced
21,DWH,advanced
21,Data modeling,advanced
