Job ID,Technology,Experience Level
0,Excel,regular
0,DICOM,regular
0,Mirth,regular
0,SQL,regular
1,English,B2
1,Team Leadership,advanced
1,Databases,advanced
2,Data,advanced
2,Cloud,advanced
2,ELT,advanced
2,CI/CD,advanced
2,DDD,advanced
2,data governance,advanced
2,API,advanced
2,HLD,advanced
2,LLD,advanced
3,English,B2
3,SQL Server,regular
3,Powershell,regular
3,SQL,regular
4,Teradata,advanced
4,Informatica,advanced
4,Architecture,advanced
4,Data analysis,regular
4,SQL,regular
5,English,B2
5,SQL,advanced
5,Data modeling,advanced
5,Data Warehousing,advanced
5,Communication,advanced
5,Team Player,advanced
5,Python,nice to have
5,Bash,nice to have
5,Java,nice to have
5,CI/CD,nice to have
6,AI,advanced
6,Bazy Danych,regular
7,Polish,C2
7,PL/SQL,master
7,SQL,master
7,REST,regular
7,XQUERY,regular
7,SOAP,regular
7,XSLT,regular
8,AWS,advanced
8,SQL,advanced
8,Python,advanced
9,English,B2
9,Python,regular
9,Docker,regular
9,Prometheus,regular
9,Grafana,regular
9,Airflow,regular
9,Cloud,regular
9,Machine Learning,nice to have
10,English,B2
10,AWS,advanced
10,Terraform,advanced
10,SQL,advanced
10,Python,advanced
11,Polish,B2
11,English,B2
11,C++,advanced
11,Java,advanced
12,Polish,C1
12,English,B2
12,Python,regular
12,SQL,regular
12,GCP,regular
12,Airflow,regular
12,Databases,regular
12,Docker,regular
12,BigQuery,regular
12,Azure,nice to have
12,CI/CD,nice to have
13,English,C1
13,Snowflake,advanced
13,SQL,advanced
13,ETL,advanced
13,AWS,regular
14,English,C1
14,DBT,regular
14,Data Vault,regular
14,Snowflake,regular
14,SQL,regular
14,Python,regular
14,AWS,junior
15,English,C1
15,VBA,master
15,SQL,master
15,T-SQL,advanced
15,SQL Server,advanced
15,Databases,advanced
15,Data modeling,advanced
15,Data Integration,advanced
16,data vault 2.0,advanced
16,Snowflake,advanced
16,DBT,advanced
16,AWS,advanced
17,Data,regular
17,AWS,regular
17,Python,regular
17,Databricks,regular
17,Spark,regular
17,DBT,regular
17,SQL,regular
17,CI/CD,nice to have
17,Airflow,nice to have
17,Dagster,nice to have
18,DevOps,regular
18,Google Cloud Platform,regular
18,CI/CD,regular
18,Cloud Storage,regular
18,BigQuery,regular
18,Java,regular
18,Dataproc,regular
18,Kubernetes Engine,regular
19,Data,advanced
19,SQL,advanced
19,Analytical Thinking,advanced
19,Power BI,advanced
19,DAX,advanced
20,Polish,C1
20,English,C1
20,Hadoop,master
20,Hive,master
20,HDFS,master
20,Apache Spark,master
20,Scala,regular
20,Google Cloud Platform,regular
20,SQL,regular
20,CI/CD,regular
20,Big Query,nice to have
20,Cloud Dataflow,nice to have
21,English,B2
21,PySpark,advanced
21,Azure,advanced
21,Databricks,advanced
21,SQL,advanced
21,Python,advanced
22,PostgreSQL,advanced
22,ETL tools,advanced
22,MySQL,advanced
22,MongoDB,advanced
22,SQL,advanced
22,Enterprise Architect,advanced
22,DWH,advanced
22,Python,regular
23,PostgreSQL,advanced
23,Microsoft SQL,advanced
23,Microsoft BI,advanced
23,DAX,advanced
23,Databricks,advanced
23,SQL,advanced
23,MS Fabric,advanced
23,RLS,regular
23,Python,regular
24,ETL,regular
24,Spark,regular
24,Hadoop,regular
24,Kafka,regular
24,Java,regular
24,Python,regular
25,Flink,regular
25,Java,regular
25,Python,regular
25,Dremio,regular
25,Apache Spark,regular
25,DataMesh,nice to have
26,English,C1
26,Data,master
26,Grafana,advanced
26,AI,advanced
26,Sinequa,regular
27,Polish,C2
27,English,B2
27,Django,advanced
27,Snowflake,advanced
27,SQL,advanced
27,Python,advanced
27,AWS,nice to have
27,RDS SQL Database,nice to have
27,TypeScript,nice to have
27,Flyway,nice to have
27,React,nice to have
27,dash,nice to have
28,English,B2
28,Microsoft Fabric,regular
28,Data Factory,regular
28,REST API,regular
28,ETL/ELT,regular
28,SaaS,regular
28,Python,regular
28,Azure,regular
28,IaC,regular
28,CI/CD,regular
29,English,B2
29,Python,advanced
29,Azure,regular
29,Optimization methodologies,regular
29,SQL,junior
30,English,C1
30,SQL,advanced
30,Celonis,advanced
30,process mining,regular
30,data mining,regular
30,Python,regular
30,Matlab,regular
30,R,regular
30,Big Data,regular
31,DWH,advanced
31,Microsoft Azure Cloud,advanced
31,SQL,advanced
31,Python,advanced
31,Big Data,advanced
32,English,B2
32,Cloud,regular
32,Python,regular
32,Machine Learning,regular
32,AWS,nice to have
32,Azure,nice to have
32,GCP,nice to have
33,English,B2
33,Ukrainian,C1
33,JSON,regular
33,XML,regular
33,Postman,regular
33,SQL,regular
33,GitLab,regular
33,CI/CD,regular
33,Jira,regular
33,Confluence,regular
33,Kibana,regular
34,English,B2
34,Python,master
34,Machine Learning,master
34,SQL,advanced
35,Polish,C1
35,English,B2
35,Docker,regular
35,Kubernetes,regular
35,Oracle,regular
35,Teradata,regular
35,ETL,regular
35,Azure,regular
36,SQL,regular
36,Python,regular
36,QlikSense or Tableau,regular
37,English,B2
37,BI,master
37,Python,advanced
37,PostgreSQL,advanced
37,Looker,regular
37,Airflow,regular
37,Kafka,regular
38,Azure,advanced
38,Databricks,advanced
38,SQL,advanced
38,Python,advanced
38,Big Data,advanced
38,Airflow,regular
38,Apache Spark,regular
38,Apache Kafka,nice to have
38,DBT,nice to have
39,Polish,C1
39,English,B2
39,Azure Data Factory,regular
39,Databricks,regular
39,Airflow,regular
39,ETL tools,regular
39,Microsoft Azure,regular
40,English,B2
40,Oracle CPQ,regular
40,Revalize CPQ,regular
40,Tacton CPQ,regular
40,Infor CPQ,regular
40,CPQ,regular
41,Airflow,advanced
41,Databricks,advanced
41,GCP,advanced
42,Oracle,advanced
42,Database,advanced
42,Security,regular
42,SQL,regular
42,MongoDB,regular
42,PostgreSQL,regular
42,Teradata,regular
42,Hadoop,regular
43,Snowflake,advanced
43,AWS,advanced
44,Polish,C2
44,English,B2
44,Data Engineering,advanced
44,Azure SQL,regular
44,Azure DB,regular
44,PowerQuery,regular
44,Python,regular
44,ETL,regular
44,ETL tools,regular
45,Polish,C2
45,English,C1
45,PostgreSQL,master
45,MongoDB / Firestore,master
45,Redis,master
45,Python,master
45,Apache Airflow,master
45,ETL,master
45,GCP,master
45,Docker,master
45,Kubernetes,master
46,English,B2
46,Cloud,advanced
46,AI,advanced
46,Cybersecurity,advanced
46,GitHub,regular
